Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,RHC AU Equity,RAMSAY HEALTH CARE LTD,AUD,544.99900000000002,654.05200000000002,690.16899999999998,2880.9920000000002,2202.6529999999998,2187.8310000000001,3006.7220000000002,3187.1280000000002,3576,3551.451,3585.9490000000001,4062.3910000000001,4556.9669999999996,7653.2340000000004,8241.482,8335.3610000000008,9312.8690000000006,12532.641,18099.7,19324.599999999999,19473.3,21030.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PLS AU Equity,PILBARA MINERALS LTD,AUD,#N/A,#N/A,#N/A,#N/A,1.3883000000000001,0.83140000000000003,0.1464,0.43009999999999998,5.1085000000000003,4.2481999999999998,1.9738,4.7138,4.7118000000000002,7.3079999999999998,102.733,336.47800000000001,531.98,582.27099999999996,602.46400000000006,949.72,1978.3879999999999,5198.835,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,ASX AU Equity,ASX LTD,AUD,264.83300000000003,271.91699999999997,289.89,358.21,813.24599999999998,9518.4629999999997,6791.8850000000002,6786.8469999999998,6620.7960000000003,6182.5,6527.2,7368.7,8008.8,8058.6,10451.6,13211.7,12923,15330.3,17414.8,16597,18237.5,16833.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,APA AU Equity,APA GROUP,AUD,1416.8689999999999,1431.8219999999999,1433.671,1883.4949999999999,2060.855,4237.9340000000002,5096.9920000000002,4747.3270000000002,4982.4359999999997,5427.6049999999996,5496.0540000000001,7698.9279999999999,7972.51,14652.886,14842.674999999999,15045.948,15227.226000000001,15433.927,15994.312,14742.868,15836.287,15866,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,CAR AU Equity,CARSALES.COM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,80.634100000000004,102.42610000000001,111.2,114.068,138.29300000000001,161.92099999999999,243.15100000000001,404.43900000000002,492.18799999999999,545.774,539.19200000000001,910.52099999999996,990.15499999999997,997.601,1163.5909999999999,1861.117,4684.6580000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,SVW AU Equity,SEVEN GROUP HOLDINGS LTD,AUD,2293.9241000000002,2097.5439000000001,2067.8870000000002,1735.8,1830.991,3243.18,2754.8519999999999,2261.2750000000001,4551.0889999999999,4823.4669999999996,5786.6840000000002,5654.3360000000002,5399.4,5372.9,5330.9,4836,6112.9,6899.3,7447.8,8755.2999999999993,13593.4,13629.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,TLC AU Equity,LOTTERY CORP LTD/THE,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2711.2,4217.3,4370.8999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,TPG AU Equity,TPG TELECOM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5400.7,8747,18824,19164,19366,19366,19366,19366,19366,19366,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,MPL AU Equity,MEDIBANK PRIVATE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3145.6790000000001,3114.9319999999998,2974.27,3140.9,3266.2,3462.5,3544.9,3630.8,3763.8,3923.8,4552.8,4388.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,EDV AU Equity,ENDEAVOUR GROUP LTD/AUSTRALI,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10795,10764,10863,11671,11671,11671,11671,11671,,,,,,,,,,,,,,,,,,,,,,,,,,,
