Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,WHC AU Equity,WHITEHAVEN COAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,51.314,252.455,489.529,722.845,1023.176,1040.536,3424.268,3240.622,3206.536,2865.034,2888.716,3292.296,3482.812,3522.2,3249.59,2705.738,4211.634,5260.525,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,AKE AU Equity,ALLKEM LTD,AUD,#N/A,#N/A,#N/A,#N/A,0.0301,0.6037,6.144,10.2491,34.2516,62.8115,58.2309,184.2082,159.5863,211.5381,254.3668,283.9542,679.0695,1047.919,1002.2845,967.1749,4457.9948,5358.7509,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,NXT AU Equity,NEXTDC LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,104.8018,193.823,196.388,223.575,214.9,333.128,506.534,893.977,875.303,1681.396,1660.458,1698.528,2276.618,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,IEL AU Equity,IDP EDUCATION LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,103.641,96.734,91.435,79.318,88.803,101.286,153.947,392.921,387.994,455.368,517.442,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,SDF AU Equity,STEADFAST GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14.471,12.382,525.038,841.565,898.141,913.168,1056.979,1095.252,1197.395,1267,1813.9,2244.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,IPL AU Equity,INCITEC PIVOT LTD,AUD,#N/A,573.382,631.519,559.966,380,535,3155.3,3339.6,3611.3,3706.7,4031.4,4219.8,4407,4688.2,4576.3,4759.1,4744.2,4687.8,5203.3,5368.6,6289.7,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,ALU AU Equity,ALTIUM LTD,AUD,134.555,127.818,37.518,35.378,35.39,32.935,24.4717,21.1988,9.1615,3.9449,8.7953,5.5586,8.055,157.7608,175.6345,182.2897,206.4187,263.2406,267.537,341.3365,397.6476,456.1778,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,ALQ AU Equity,ALS LTD,AUD,127.841,126.491,135.746,151.231,256.652,299.547,338.205,413.068,629.744,825.52,930.2,997.1,1419.4,1228.4,1185.6,1185.2,1122,1083.2,1110.6,1069.5,1130.7,1378.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,CWY AU Equity,CLEANAWAY WASTE MANAGEMENT L,AUD,#N/A,54.777,94.908,122.285,181.425,1295.63,1507.591,1356.334,2202.594,1836.385,2151.3,2007.3,2058.7,1754.7,1781.5,1825,2488.1,2536.6,2571,2636.3,2628.2,2945.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,BLD AU Equity,BORAL LTD,AUD,1949.7,2140.2,2359.7,2406.8,2755,2987.3,2909.6,2753.6,2626.1,3156.4,3403.4,3393.5,3348.1,3524.1,3506.3,5440.5,5730.8,5832.4,4495.1,4364,1897.5,2025.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,BEN AU Equity,BENDIGO AND ADELAIDE BANK,AUD,494.427,552.71,676.4,720.7,899.5,1015,3297.9,3118.7,3880.4,3960.1,4217.7,4434,4966.5,4941.7,5115.3,5425.6,5620.3,5631.6,5798.2,6353.5,6711.9,6850.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,JBH AU Equity,JB HI-FI LTD,AUD,29.869,38.462,48.876,62.238,83.657,118.802,163.89,229.252,293.296,152.313,184.501,243.828,294.633,343.479,404.702,853.5,947.6,1044.1,1105.7,1308.4,1280.3,1419.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,NHC AU Equity,NEW HOPE CORP LTD,AUD,208.991,220.889,297.216,697.862,568.29,731.198,827.607,2748.498,2339.525,2367.383,2252.916,2016.456,1973.859,1852.625,1750.412,1853.428,1888.4,1961.012,1725.38,1746.613,2315.531,2521.406,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,TNE AU Equity,TECHNOLOGY ONE LTD,AUD,36.644,35.646,36.956,38.328,39.256,44.312,50.514,57.143,63.415,68.37,73.997,87.736,104.499,117.94,138.494,157.52,77.49,106.857,142.168,190.234,239.097,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,QUB AU Equity,QUBE HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,443.971,686.387,1091.24,1142.083,1445.346,1488.33,2037.3,2612.6,2750.1,2813.4,3296.6,3358.8,2990.9,3032.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,HVN AU Equity,HARVEY NORMAN HOLDINGS LTD,AUD,875.894,1034.037,1228.275,1266.437,1442.925,1742.152,1947.152,2059.182,2157.211,2228.461,2266.882,2363.855,2491.106,2556.86,2688.674,2812.907,2937.932,3197.793,3477.325,3893.019,4294.124,4466.489,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,DMP AU Equity,DOMINO'S PIZZA ENTERPRISES L,AUD,11.581,9.822,14.757,46.126,56.439,67.183,79.254,94.905,100.347,104.916,117.041,102.582,259.389,305.056,394.545,415.064,307.664,346.007,393.373,395.137,421.957,520.517,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,VEA AU Equity,VIVA ENERGY GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1138.1,2195.2,2234.8,2779.1,2723.9,2057.1,2111.9,2360.8,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
