Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021
353,BRL AU Equity,BATHURST RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.9802,38.2371,684.6057,264.3842,87.406,42.5219,14.2174,11.5738,89.7285,226.9746,199.8212,83.7665,#N/A
354,EGN AU Equity,ENGENCO LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,167.2811,141.5508,25.2304,42.6302,130.4355,62.1124,43.5248,35.7525,29.5347,31.0891,65.81,151.9898,131.62,141.0214,#N/A
355,ATU AU Equity,ATRUM COAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70.7792,276.1466,202.5296,97.5759,40.6197,31.0314,186.1737,#N/A,#N/A
356,AMX AU Equity,AEROMETREX LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,141.6,#N/A
357,GTN AU Equity,GTN LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,406.4482,539.3304,489.8918,203.84,88.2644,#N/A
358,SOM AU Equity,SOMNOMED LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,23.5545,7.9281,9.1998,24.5649,17.656,31.349,50.5847,36.9762,38.4819,65.4903,134.9793,203.5996,177.0743,136.8525,91.066,99.3112,#N/A
359,ALC AU Equity,ALCIDION GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.745,2.3768000000000002,2.627,3.0418,5.6688,26.5223,41.9368,31.6046,100.7089,143.6506,#N/A
360,TER AU Equity,TERRACOM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,463.1565,259.8928,82.5561,49.5207,33.9738,14.4056,81.3576,156.8017,259.2698,120.5772,#N/A
361,RUL AU Equity,RPMGLOBAL HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,140.1131,64.5216,49.632,45.2496,43.428,66.4323,82.001,99.4857,69.8922,115.7406,133.8735,126.576,235.4506,#N/A
362,PNR AU Equity,PANTORO LTD,AUD,#N/A,#N/A,#N/A,#N/A,3.7533,10.2064,9.2967,225.79,21.5347,10.2044,30.4777,93.2372,59.0519,25.1285,21.9774,19.622700000000002,73.4906,190.415,236.8125,215.1888,311.6251,#N/A
363,SNL AU Equity,SUPPLY NETWORK LTD,AUD,2.515,3.2888,4.0627,6.8845,10.3866,10.8358,8.2974,6.1954,8.5862,7.087,9.5319,19.1448,34.0163,46.1528,78.6306,83.561,85.59909999999999,102.7189,172.8287,143.9586,170.383,#N/A
364,PYC AU Equity,PYC THERAPEUTICS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,16.7189,70.0291,42.9838,11.6236,12.0821,16.5026,29.1742,20.5432,7.9371,12.0248,21.0435,26.0538,91.1652,55.6103,70.8428,337.1315,#N/A
