Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,,,,,,
63,DOW AU Equity,DOWNER EDI LTD,AUD,0.74,0.55,0.66,0.77,3.2,5.33,7.44,7.36,6.87,5.59,3.6,3.7,3.13,3.59,4.52,4.78,3.8,6.41,6.78,6.92,4.38,#N/A,,,,,,
64,BEN AU Equity,BENDIGO AND ADELAIDE BANK,AUD,4.92,6.604,6.8,8.17,9.42,9.87,12.9,15.2,10.93,6.95,8.18,8.86,7.41,10.07,12.2,12.26,9.6,11.08,10.84,11.58,7.01,#N/A,,,,,,
65,ALU AU Equity,ALTIUM LTD,AUD,5,5,1.08,0.39,0.36,0.19,0.3,1.25,0.55,0.33,0.22,0.085,0.38,1.35,2.45,4.43,6.46,8.57,22.51,34.2,32.48,#N/A,,,,,,
66,DMP AU Equity,DOMINO'S PIZZA ENTERPRISES L,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,2.37,3.9,3.45,3.65,3.2,5.46,6.22,10.05,11.17,21.82,36.16,68.82,52.08,52.22,37.64,67.79,#N/A,,,,,,
67,FLT AU Equity,FLIGHT CENTRE TRAVEL GROUP L,AUD,19,28,27.25,22,19.11,14,9.93,19.2,16.67,8.65,16.63,21.62,18.93,39.33,44.45,34.11,31.58,38.3,63.65,41.55,11.12,#N/A,,,,,,
68,ALQ AU Equity,ALS LTD,AUD,4.45,4.85,6.06,4.34,6.12,9.41,14.8,22.1,25,13.6,29.55,46.35,67.23,10.47,7.33,4.96,3.99,6.14,7.42,7.59,5.5600000000000005,#N/A,,,,,,
69,IEL AU Equity,IDP EDUCATION LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.12,5.09,10.51,17.66,15.49,#N/A,,,,,,
70,JBH AU Equity,JB HI-FI LTD,AUD,#N/A,#N/A,#N/A,#N/A,2.3,3.56,5.08,10.82,10.46,15.4,19.07,17.07,8.86,16.81,18.3,19.48,24.1,23.37,22.52,25.85,43.03,#N/A,,,,,,
71,SGR AU Equity,STAR ENTERTAINMENT GRP LTD/T,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.11,4.28,3.06,3.14,4.36,5.4,5.05,4.93,4.12,2.84,#N/A,,,,,,
72,CWY AU Equity,CLEANAWAY WASTE MANAGEMENT L,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,3.77,6.63,13.36,6,1.8,0.995,0.815,0.725,0.8,1.015,0.77,0.8,1.375,1.69,2.33,2.2,#N/A,,,,,,
73,CAR AU Equity,CARSALES.COM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.76,4.7,6,9.43,10.59,10.19,12.32,11.52,15.12,13.53,17.74,#N/A,,,,,,
74,ILU AU Equity,ILUKA RESOURCES LTD,AUD,4.138,4.45,4.6,4.53,6.29,7.84,6.65,4.6,4.64,3.58,9.14,15.5,9.02,8.63,5.95,6.13,7.27,10.17,7.62,9.3,#N/A,#N/A,,,,,,
75,ORA AU Equity,ORORA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.425,2.09,2.76,2.86,3.57,3.24,2.54,#N/A,,,,,,
76,YAL AU Equity,YANCOAL AUSTRALIA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0.76,0.155,0.1,0.49,0.125,3.92,2.9,#N/A,#N/A,,,,,,
77,ANN AU Equity,ANSELL LTD,AUD,1.49,0.84,6.28,5.85,7.74,10.04,9.67,12.2,9.26,8.77,13.13,14.16,13.2,17.63,19.83,24.09,18.17,23.73,27.19,26.85,36.7,#N/A,,,,,,
78,VEA AU Equity,VIVA ENERGY GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.8,1.92,#N/A,#N/A,,,,,,
79,IGO AU Equity,IGO LTD,AUD,#N/A,#N/A,0.355,0.36,1.1,1.34,2.7199999999999998,6.95,5.1,4.63,4.72,5.63,3.45,2.26,4.35,4.17,3.2800000000000002,3.15,5.14,4.72,4.87,#N/A,,,,,,
80,SAR AU Equity,SARACEN MINERAL HOLDINGS LTD,AUD,0.16,0.12,0.075,0.045,0.085,0.08,0.44,0.415,0.17,0.19,0.405,0.535,0.555,0.115,0.41,0.43,1.44,1.17,2.19,3.68,5.42,#N/A,,,,,,
81,OZL AU Equity,OZ MINERALS LTD,AUD,0.074,0.225,0.5,1.05,0.99,1.74,3.17,3.48,0.55,1.18,1.72,10.01,6.7,3.15,3.48,4.05,7.89,9.16,8.8,10.55,#N/A,#N/A,,,,,,
82,BOQ AU Equity,BANK OF QUEENSLAND LTD,AUD,5.38,6.55,7.53,9.01,9.72,11.65,15.29,18.56,15.86,11.65,9.83,7.48,7.55,9.6,12.58,12.67,10.55,12.59,11.49,9.17,6.13,#N/A,,,,,,
83,RWC AU Equity,RELIANCE WORLDWIDE CORP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.09,3.34,5.36,3.52,2.94,#N/A,,,,,,
84,LNK AU Equity,LINK ADMINISTRATION HOLDINGS,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.17,7.9,7.33,5,4.1,#N/A,,,,,,
85,MIN AU Equity,MINERAL RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.41,6.5,4.25,8.1,11.5,8.95,8.25,9.59,6.6,8.31,10.85,16.01,14.98,21.17,#N/A,,,,,,
