Num,Ticker,Name,FY Report Month,Data FX,"Begin 
Year",Sector,BICS Name,BICS 1,BICS 2,BICS 3,BICS 4
135,FNP AU Equity,FREEDOM FOODS GROUP LTD,2019-06-30 00:00:00,AUD,2000,Consumer Products,Packaged Food,Consumer Staples,Consumer Products,Packaged Food,#N/A
136,Z1P AU Equity,ZIP CO LTD,2019-06-30 00:00:00,AUD,2010,Technology,Financial Transaction Proc Svcs,Financials,Specialty Finance,Consumer Finance,Credit & Debit
137,NWH AU Equity,NRW HOLDINGS LTD,2019-06-30 00:00:00,AUD,2008,Mining Services,Mining Services,Materials,Metals & Mining,Mining Services,#N/A
138,AVH AU Equity,AVITA MEDICAL LTD,2019-06-30 00:00:00,AUD,2002,Medical Equipment & Devices,Medical Equipment,Health Care,Medical Equipment & Devices,Medical Equipment,#N/A
139,ASB AU Equity,AUSTAL LTD,2019-06-30 00:00:00,AUD,2000,Industrials,Shipbuilding,Industrials,Transportation Equipment,Shipbuilding,#N/A
140,PRU AU Equity,PERSEUS MINING LTD,2019-06-30 00:00:00,AUD,2005,Precious Metals,Gold Mining,Materials,Metals & Mining,Precious Metal Mining,Gold Mining
141,CDA AU Equity,CODAN LTD,2019-06-30 00:00:00,AUD,2004,Industrials,Security Devices,Industrials,Electrical Equipment,Comml & Res Bldg Equip & Sys,Security Devices
142,LOV AU Equity,LOVISA HOLDINGS LTD,2019-06-30 00:00:00,AUD,2015,Discretionary Retail,Jewelry,Consumer Discretionary,Apparel & Textile Products,"Apparel, Footwear & Acc Design",Watch & Jewelry Design
143,UOS AU Equity,UNITED OVERSEAS AUSTRALIA,2019-12-31 00:00:00,AUD,2000,Real Estate,Multi Asset Class Own & Develop,Financials,Real Estate,Real Estate Owners & Developers,Multi Asset Class Own & Develop
144,PNV AU Equity,POLYNOVO LTD,2019-06-30 00:00:00,AUD,2000,Pharmaceutical,Specialty Pharma,Health Care,Biotech & Pharma,Specialty Pharma,#N/A
145,VAH AU Equity,VIRGIN AUSTRALIA HOLDINGS LT,2019-06-30 00:00:00,AUD,2004,Airlines,Mainline Airline - Full Svc,Consumer Discretionary,Passenger Transportation,Airlines,Full Service Airline
146,BVS AU Equity,BRAVURA SOLUTIONS LTD,2019-06-30 00:00:00,AUD,2017,Technology,Enterprise Software,Technology,Software,Application Software,Enterprise Software
147,ING AU Equity,INGHAMS GROUP LTD,2019-06-29 00:00:00,AUD,2017,Agriculture,Animal Production & Process,Consumer Staples,Consumer Products,Agricultural Producers,Animal Production & Process
148,ZIM AU Equity,ZIMPLATS HOLDINGS LTD,2019-06-30 00:00:00,AUD,2000,Precious Metals,Platinum Group Metals,Materials,Metals & Mining,Precious Metal Mining,Platinum Group Metals
149,CIA AU Equity,CHAMPION IRON LTD,2019-03-31 00:00:00,AUD,2007,Iron Ore Mining,Iron Ore Mining,Materials,Iron & Steel,Steel Raw Material Suppliers,Iron Ore Mining
